,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,9,Negative,Finances,,,Starting a Small Business,"You are considering leaving your job to start your own small business and are ready to work hard. You are excited, but you also know that many start-ups can end up crashing and burning. Thinking about the future of your business, it will be ruined. ",,"When thinking about the future of your company, you can see yourself...",Filing for bankruptcy,Making a good profit,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,85.jpg,"You are considering leaving your job to start your own small business and are ready to work hard. You are excited, but you also know that many start-ups can end up crashing and burning. Thinking about the future of your business, it will be ruined. ",,"When thinking about the future of your company, you can see yourself...",Filing for bankruptcy,Making a good profit,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,85.jpg,all
,10,Resilience/Negation,Finances,,,Working Late,"You are staying late to get extra work done and notice two coworkers. They are leaving together, and they say hi as they're walking by. Since you're the only one working late, you feel embarrassed.",You realize that they might be going to finish up some work together somewhere else. This makes you feel better.,Do you feel okay about seeing your coworkers? ,Yes,No,https://drive.google.com/file/d/1Clctht43jDXF2QSySK6_NttDqJAW6LRW/view?usp=sharing,290.jpg,"You are staying late to get extra work done and notice two coworkers. They are leaving together, and they say hi as they're walking by. Since you're the only one working late, you feel embarrassed.",You realize that they might be going to finish up some work together somewhere else. This makes you feel better.,Do you feel okay about seeing your coworkers? ,Yes,No,https://drive.google.com/file/d/1Clctht43jDXF2QSySK6_NttDqJAW6LRW/view?usp=sharing,290.jpg,all
8,1,Positive,Finances,Social Situations,,Breakfast with Friends,"Your friends want to grab breakfast together. You don’t want to miss out on spending time with them, but you’re trying not to eat out as much. When you tell them you’ll eat the food you have at home, you think they’ll be reasonable. ",,Will your friends be upset at you for saying no? ,No,Yes,https://drive.google.com/file/d/1KufUq6DjiYSOP6yTIhzGWXyizrbFcF-m/view?usp=sharing,291.jpg,"Your friends want to grab breakfast together. You don’t want to miss out on spending time with them, but you’re trying not to eat out as much. When you tell them you’ll eat the food you have at home, you think they’ll be reasonable. ",N/A,Will your friends be upset at you for saying no? ,No,Yes,https://drive.google.com/file/d/1KufUq6DjiYSOP6yTIhzGWXyizrbFcF-m/view?usp=sharing,291.jpg,all
,2,Positive,Finances,,,Buying New Clothes,"Some friends have reached out to you about going out to dinner for a friend's birthday. You've had some unexpected expenses this month, and you're worried about being able to afford a nice dinner. You talk to your friends, and they reassure you that the restaurant they choose won't be expensive.",,Will people judge you if do not buy new clothes? ,No,Yes,https://drive.google.com/file/d/1KQCuxX95_1QzsNqkKcSAiu6i65pzXcEX/view?usp=sharing,292.jpg,"Looking around, it seems like everyone you know has new outfits. You’ve been wearing the same clothes for years, and you start to wonder whether people are judging you. You realize that you like the clothes you have, and they make you feel good. ",N/A,Will people judge you if do not buy new clothes? ,No,Yes,https://drive.google.com/file/d/1KQCuxX95_1QzsNqkKcSAiu6i65pzXcEX/view?usp=sharing,292.jpg,all
,3,Positive,Finances,Romantic Relationships,,New Home,"You are planning on moving and have started looking at houses on the market. Your spouse finds a home that they love, but you think that it would really stretch your budget. You feel confident you’ll be able to come up with a solution that works for everyone. ",,Will your spouse be devastated if you don't buy the house they like?,No,Yes,https://drive.google.com/file/d/1Ql4qGft_rwLr7f7TuPEedDulnMblzh_e/view?usp=sharing,195.jpg,"You are planning on moving and have started looking at houses on the market. Your spouse finds a home that they love, but you think that it would really stretch your budget. You feel confident you’ll be able to come up with a solution that works for everyone. ",N/A,Will your spouse be devastated if you don't buy the house they like?,No,Yes,https://drive.google.com/file/d/1Ql4qGft_rwLr7f7TuPEedDulnMblzh_e/view?usp=sharing,195.jpg,all
,4,Resilience/Negation,Finances,,,Retirement Funds,"You recently attended a retirement party for an older colleague. Thinking about your retirement funds, you wonder if you've been saving enough to retire when you want to. You feel behind. ","Talking about this with your bank, they reassure you that you have plenty saved for retirement and that you still have time to keep saving. You feel hopeful that you will be able to retire as planned.",Will you be able to retire when you want to?,Yes,No,https://drive.google.com/file/d/1zPgAUvOWnt9u_VBVuY7G97mzMIGDpKs8/view?usp=sharing,293.jpg,"You recently attended a retirement party for an older colleague. Thinking about your retirement funds, you wonder if you've been saving enough to retire when you want to. You feel behind. ","Talking about this with your bank, they reassure you that you have plenty saved for retirement and that you still have time to keep saving. You feel hopeful that you will be able to retire as planned.",Will you be able to retire when you want to?,Yes,No,https://drive.google.com/file/d/1zPgAUvOWnt9u_VBVuY7G97mzMIGDpKs8/view?usp=sharing,293.jpg,all
,5,Positive,Finances,Mental Health,,Affording Therapy,"You've been wanting to go to therapy for a while. However, you aren't sure whether you have the budget to pay for it. You think that it's likely that you will find a provider whose services are affordable. ",,Do you want to go to therapy?,Yes,No ,https://drive.google.com/file/d/1oOjp17AzniUmJnuYe-gQ8IiWi4W8RJ71/view?usp=sharing,173.jpg,"You've been wanting to go to therapy for a while. However, you aren't sure whether you have the budget to pay for it. You think that it's likely that you will find a provider whose services are affordable. ",N/A,Do you want to go to therapy?,Yes,No ,https://drive.google.com/file/d/1oOjp17AzniUmJnuYe-gQ8IiWi4W8RJ71/view?usp=sharing,173.jpg,all
,6,Positive,Finances,Family & Home Life,,Holiday Gifts,"A holiday that your family celebrates is coming up. You want to buy gifts for everyone, but you can't afford it. You decide to buy one gift for your family to share, and you think that it will be appreciated. ",,Will your family like your gift?,Yes,No,https://drive.google.com/file/d/1jWzJuwkqvTss1X1vO90z40f-28aw_x4n/view?usp=sharing,185.jpg,"A holiday that your family celebrates is coming up. You want to buy gifts for everyone, but you can't afford it. You decide to buy one gift for your family to share, and you think that it will be appreciated. ",N/A,Will your family like your gift?,Yes,No,https://drive.google.com/file/d/1jWzJuwkqvTss1X1vO90z40f-28aw_x4n/view?usp=sharing,185.jpg,all
,7,Negative,Finances,Family & Home Life,,Providing for Family,"You want your family to have good educational opportunities. You want your kids to be able to attend good colleges but understand that this comes with a high price tag. When you think about your children, you think supporting their college education will be impossible.",,"When you think about talking to your children about their education, you can imagine telling them...","""I don't think we're going to be able to afford sending you to that school""","""I will help you go to a good school""",https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,191.jpg,"You want your family to have good educational opportunities. You want your grandkids to be able to attend good colleges but understand that this comes with a high price tag. When you think about your grandchildren, you think supporting their college education will be impossible.",,"When you think about talking to your children about their education, you can imagine telling them...","""I don't think we're going to be able to afford sending you to that school""","""I will help you go to a good school""",https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,191.jpg,all
,8,Positive,Finances,Mental Health,,Treating Yourself,"You've had a lot going on recently and haven't felt like yourself. You want to treat yourself to something you enjoy, but you aren't sure you have room in your budget. You decide to buy yourself something small that you can definitely afford.",,Are you able to treat yourself?,Yes,No,https://drive.google.com/file/d/1zr-ojLmvOUbAd2xJRvcq3QG2d7z_oRgu/view?usp=sharing,251.jpg,"You've had a lot going on recently and haven't felt like yourself. You want to treat yourself to something you enjoy, but you aren't sure you have room in your budget. You decide to buy yourself something small that you can definitely afford.",N/A,Are you able to treat yourself?,Yes,No,https://drive.google.com/file/d/1zr-ojLmvOUbAd2xJRvcq3QG2d7z_oRgu/view?usp=sharing,251.jpg,all
,9,Resilience/Negation,Finances,,,Savings Account,You recently received a medical bill that was more than you were expecting. You will have to take a significant amount of money out of your savings account to pay for it. You worry about not having a lot of money left in your savings account after you pay for this bill.,"You feel grateful that you've saved up money for an emergency like this, and you know that you'll be able to rebuild your savings account again.",Do you feel comfortable taking money out of your savings account to pay for this bill?,Yes,No,https://drive.google.com/file/d/1ntIIxm81GLLVv4ADzPrrHkj2df_z9XrL/view?usp=sharing,256.jpg,You recently received a medical bill that was more than you were expecting. You will have to take a significant amount of money out of your savings account to pay for it. You worry about not having a lot of money left in your savings account after you pay for this bill.,"You feel grateful that you've saved up money for an emergency like this, and you know that you'll be able to rebuild your savings account again.",Do you feel comfortable taking money out of your savings account to pay for this bill?,Yes,No,https://drive.google.com/file/d/1ntIIxm81GLLVv4ADzPrrHkj2df_z9XrL/view?usp=sharing,256.jpg,all
,10,Positive,Finances,Family & Home Life,,Unexpected Medical Visit ,"You recently had an unexpected medical visit. You and your spouse share an insurance plan, and you’re worried that your spouse will be concerned about finances if they see it on your insurance statement. If they ask you about it, you think they will be understanding. ",,Will your spouse be mad? ,No,Yes,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,190.jpg,"You recently had an unexpected medical visit. You and your spouse share an insurance plan, and you’re worried that your spouse will be concerned about finances if they see it on your insurance statement. If they ask you about it, you think they will be understanding. ",N/A,Will your spouse be mad? ,No,Yes,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,190.jpg,all
9,1,Positive,Finances,Mental Health,,Burn Out,"You have been working really hard for the past year and are starting to feel burned out. You feel like you need to take a break, but you’re worried about the financial repercussions of taking time off. You think that taking time off to focus on your mental health is important. ",N/A,Is it important to take breaks sometimes?,Yes,No,https://drive.google.com/file/d/1u7Iy0Y0w6P-NRSA3lptYET22xPZF2zLx/view?usp=sharing,294.jpg,"You have been working really hard for the past year and are starting to feel burned out. You feel like you need to take a break, but you’re worried about the financial repercussions of taking time off. You think that taking time off to focus on your mental health is important. ",N/A,Is it important to take breaks sometimes?,Yes,No,https://drive.google.com/file/d/1u7Iy0Y0w6P-NRSA3lptYET22xPZF2zLx/view?usp=sharing,294.jpg,all
,2,Positive,Finances,Social Situations,,Beach Plans,"Your friends are planning a trip to the beach and have offered to help you with the cost. You feel grateful, but you're also embarrassed that you can’t pay for the trip yourself. You know that your friends are happy to help. ",N/A,Are you burdening your friends?,No,Yes,https://drive.google.com/file/d/1jjfvM58iyLIIgV9YT_iTmezJo_ZUcvF-/view?usp=sharing,295.jpg,"Your friends are planning a trip to the beach and have offered to help you with the cost. You feel grateful, but you're also embarrassed that you can’t pay for the trip yourself. You know that your friends are happy to help. ",N/A,Are you burdening your friends?,No,Yes,https://drive.google.com/file/d/1jjfvM58iyLIIgV9YT_iTmezJo_ZUcvF-/view?usp=sharing,295.jpg,all
,3,Positive,Finances,Romantic Relationships,,Paying for Dinner ,"You are on a date with your partner. They always pick up the bill, despite you wanting to pay. When you think about talking to them about paying equally, you think they will understand. ",N/A,Will your partner understand your concerns?,Yes,No,https://drive.google.com/file/d/1LG39HuEE3BQFn4VXhyvMjd5EDazRCXml/view?usp=sharing,296.jpg,"You are on a date with your partner. They always pick up the bill, despite you wanting to pay. When you think about talking to them about paying equally, you think they will understand. ",N/A,Will your partner understand your concerns?,Yes,No,https://drive.google.com/file/d/1LG39HuEE3BQFn4VXhyvMjd5EDazRCXml/view?usp=sharing,296.jpg,all
,4,Resilience/Negation,Finances,Presymptomatic,,Shifting Household Roles,"Budgeting and paying bills has always been your job in the family. Recently, you have been late on some important bills. The idea that one day you might not be able to keep up your normal role in the family is disheartening.","You set a family meeting to talk things over. Everyone feels that if you take on different responsibilities around the house, they will adjust.","If you need to take on different household responsibilities one day, your family will...",Adapt,Collapse,https://drive.google.com/file/d/1ZI9LnxwaRYAgf64IrL7qHkG1EWIXd9qW/view?usp=drive_link,297.jpg,"Budgeting and paying bills has always been your job in the family. Recently, you have been late on some important bills. The idea that one day you might not be able to keep up your normal role in the family is disheartening.","You set a family meeting to talk things over. Everyone feels that if you take on different responsibilities around the house, they will adjust.","If you need to take on different household responsibilities one day, your family will...",Adapt,Collapse,https://drive.google.com/file/d/1ZI9LnxwaRYAgf64IrL7qHkG1EWIXd9qW/view?usp=drive_link,297.jpg,all
,5,Positive,Finances,Family & Home Life,,Financial Dependence ,"Your children have been relying on you financially, and you want them to start to be more independent. You know this is an important next step, but the thought of providing them less support is overwhelming. As you think to the future, you are confident that their financial independence will be possible. ",N/A,Will your children be able to be financially independent?,Yes,No,https://drive.google.com/file/d/1i838ss7Y0rXlm4xW7ZUDdWYkvXkoMR9f/view?usp=sharing,196.jpg,"Your children have been relying on you financially, and you want them to start to be more independent. You know this is an important next step, but the thought of providing them less support is overwhelming. As you think to the future, you are confident that their financial independence will be possible. ",N/A,Will your children be able to be financially independent?,Yes,No,https://drive.google.com/file/d/1i838ss7Y0rXlm4xW7ZUDdWYkvXkoMR9f/view?usp=sharing,196.jpg,all
,6,Positive,Finances,,,Making Changes,"You are doing your taxes and start worrying about what the coming years hold, especially in terms of your finances. When you think about the coming years, you know that you will be financially stable. ",N/A,Will you be financially stable in the future?,Yes,No,https://drive.google.com/file/d/1AVhHTZ98tg1U8RN7YNEfSrfGPR8aSyFw/view?usp=drive_link,298.jpg,"You are doing your taxes and start worrying about what the coming years hold, especially in terms of your finances. When you think about the coming years, you know that you will be financially stable. ",N/A,Will you be financially stable in the future?,Yes,No,https://drive.google.com/file/d/1AVhHTZ98tg1U8RN7YNEfSrfGPR8aSyFw/view?usp=drive_link,298.jpg,all
,7,Resilience/Negation,Finances,,,Affording Expenses,"Your rent is coming up. Normally, you have your rent budgeted out, but some unexpected costs have left you a little short. You need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent. Your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,258.jpg,"Your rent is coming up. Normally, you have your rent budgeted out, but some unexpected costs have left you a little short. You need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent. Your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,258.jpg,all
,8,Positive,Finances,Physical Health,,Healthy But Expensive ,"You want to start eating healthier, so you start researching tips and recipes online. You quickly realize that many foods recommended by health experts cost a lot of money. When you think about eating healthier on a budget, you think you can be successful. ",N/A,Are healthy recipes unattainable for you? ,No,Yes,https://drive.google.com/file/d/1zL5N7y6DsslcbeJ8JgxBMyvWGx1zYBHS/view?usp=sharing,299.jpg,"You want to start eating healthier, so you start researching tips and recipes online. You quickly realize that many foods recommended by health experts cost a lot of money. When you think about eating healthier on a budget, you think you can be successful. ",N/A,Are healthy recipes unattainable for you? ,No,Yes,https://drive.google.com/file/d/1zL5N7y6DsslcbeJ8JgxBMyvWGx1zYBHS/view?usp=sharing,299.jpg,all
,9,Negative,Finances,,Family & Home Life,Affording Education,"Your children are thinking about going to college, but you think you would have to take out a loan to help send them. You remember stories you have heard of people still paying their loans when they are in retirement. Imagining yourself in retirement, you think your loans will be outstanding.",,"You imagine that in retirement, you will probably be...",Still burdened by your loans,Financially stable with your loans paid off,https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,191.jpg,"Your grandchildren are thinking about going to college, but you think you would have to take out a loan to help their parents to send them. You remember stories you have heard of people still paying their loans well after retirement. Looking at your finances while in retirement, you think your loans will be outstanding.",,"You imagine that in retirement, you will probably be...",Still burdened by your loans,Financially stable with your loans paid off,https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,191.jpg,all
,10,Positive,Finances,,,Funding Good Habits ,"You recently picked up a new hobby in an effort to improve your work-life balance, and you’re really enjoying it so far. However, this new hobby requires you to purchase materials from the store, and the expenses can quickly add up. You decide to do some research online and realize that many places sell the materials you need at a discount. ",N/A,Do you need to give up your new hobby? ,No,Yes,https://drive.google.com/file/d/1VZdM3sfiSthlhRfkQ7DJvdxeR-YOLjzd/view?usp=sharing,300.jpg,"You recently picked up a new hobby in an effort to improve your work-life balance, and you’re really enjoying it so far. However, this new hobby requires you to purchase materials from the store, and the expenses can quickly add up. You decide to do some research online and realize that many places sell the materials you need at a discount. ",N/A,Do you need to give up your new hobby? ,No,Yes,https://drive.google.com/file/d/1VZdM3sfiSthlhRfkQ7DJvdxeR-YOLjzd/view?usp=sharing,300.jpg,all
10,1,Write Your Own,,,,Write Your Own,,,,,,,,,,,,,,,write your own
11,1,Write Your Own,,,,Write Your Own,,,,,,,,,,,,,,,write your own
12,1,Write Your Own,,,,Write Your Own,,,,,,,,,,,,,,,write your own
13,1,Positive,Finances,,,Investments,"You have some money you would like to try investing. As you read more about investing, you realize that you’re not completely sure what you’re doing. You think that your investment skills are likely to keep improving with practice. ",N/A,Will investing now pay off later?,Yes,No,https://drive.google.com/file/d/1C0kDj03JLblHeq3LGfC68ItjDzUAILid/view?usp=sharing,301.jpg,"You have some money you would like to try investing. As you read more about investing, you realize that you’re not completely sure what you’re doing. You think that your investment skills are likely to keep improving with practice. ",N/A,Will investing now pay off later?,Yes,No,https://drive.google.com/file/d/1C0kDj03JLblHeq3LGfC68ItjDzUAILid/view?usp=sharing,301.jpg,1
,2,Positive,Finances,,,Trip After Car Problem,"You want to take a trip to destress. Due to a recent problem with your car, your funds are lower than normal. Despite this, you think that a trip that works for your budget and improves your mental health will be doable. ",N/A,Will you be able to go on a trip? ,Yes,No,https://drive.google.com/file/d/19qjRZJdD-oc01HULnoTPjykwfFHRazw8/view?usp=drive_link,302.jpg,"You want to take a trip to destress. Due to a recent problem with your car, your funds are lower than normal. Despite this, you think that a trip that works for your budget and improves your mental health will be doable. ",N/A,Will you be able to go on a trip? ,Yes,No,https://drive.google.com/file/d/19qjRZJdD-oc01HULnoTPjykwfFHRazw8/view?usp=drive_link,302.jpg,1
,3,Positive,Finances,Physical Health,,Recovering from the Flu,"You had to take some time off of work because you caught the flu. Although the break was important for your health, it also put a strain on your finances. When you think about your financial situation, you know you will be able to make up for the lost time.",N/A,Will you recover from your time off?,Yes,No,https://drive.google.com/file/d/1cbv_QPZogeJ9EgBhzDHZF1sxXJYifyBG/view?usp=sharing,303.jpg,"You had to take some time off of work because you caught the flu. Although the break was important for your health, it also put a strain on your finances. When you think about your financial situation, you know you will be able to make up for the lost time.",N/A,Will you recover from your time off?,Yes,No,https://drive.google.com/file/d/1cbv_QPZogeJ9EgBhzDHZF1sxXJYifyBG/view?usp=sharing,303.jpg,1
,4,Resilience/Negation,Finances,Presymptomatic,,Missing Wallet,"You are shopping at the mall, and in line to check out. When you reach into your pocket, you realize your wallet is missing. You don't know where you misplaced it, and realize that your memory lately has been bad. ",You reach into the other pocket and think to yourself how easy it is to misplace items. Being compassionate to yourself despite the memory lapse feels great.,Are you mad at yourself that you misplaced your wallet for a moment?,No,Yes,https://drive.google.com/open?id=1XJ3QYEbhYoMULR4kPxY_dOMS__RWKjup&usp=drive_copy,304.jpg,"You are shopping at the mall, and in line to check out. When you reach into your pocket, you realize your wallet is missing. You don't know where you misplaced it, and realize that your memory lately has been bad. ",You reach into the other pocket and think to yourself how easy it is to misplace items. Being compassionate to yourself despite the memory lapse feels great.,Are you mad at yourself that you misplaced your wallet for a moment?,No,Yes,https://drive.google.com/open?id=1XJ3QYEbhYoMULR4kPxY_dOMS__RWKjup&usp=drive_copy,304.jpg,1
,5,Positive,Finances,Social Situations,,Social Function,"There is an upcoming community event to celebrate the end of the year, and you really want to go. After expecting the event to be free, you are surprised to learn that it will actually be very costly to attend. You decide to reach out to the event committee and reach a compromise. ",N/A,Will the event coordinator be understanding?,Yes,No,https://drive.google.com/file/d/1YR3Chjx79egvIwLVyYWMeH2Gnk-aJ1kZ/view?usp=drive_link,305.jpg,"There is an upcoming community event to celebrate the end of the year, and you really want to go. After expecting the event to be free, you are surprised to learn that it will actually be very costly to attend. You decide to reach out to the event committee and reach a compromise. ",N/A,Will the event coordinator be understanding?,Yes,No,https://drive.google.com/file/d/1YR3Chjx79egvIwLVyYWMeH2Gnk-aJ1kZ/view?usp=drive_link,305.jpg,1
,6,Positive,Finances,,,Treating a Friend,"Your friend has been supporting you through a tough time, and you are really grateful for their support. You want to thank them by treating them to dinner, but you don’t have enough money to take them out to a restaurant. You decide to make them a home-cooked dinner and think that they will be appreciative. ",N/A,Will your friend be angry that you didn’t go out to eat?,No,Yes,https://drive.google.com/file/d/11Ndn3ZR_0Me1G_yH5q_kyexnMihf27y5/view?usp=drive_link,306.jpg,"Your friend has been supporting you through a tough time, and you are really grateful for their support. You want to thank them by treating them to dinner, but you don’t have enough money to take them out to a restaurant. You decide to make them a home-cooked dinner and think that they will be appreciative. ",N/A,Will your friend be angry that you didn’t go out to eat?,No,Yes,https://drive.google.com/file/d/11Ndn3ZR_0Me1G_yH5q_kyexnMihf27y5/view?usp=drive_link,306.jpg,1
,7,Resilience/Negation,Finances,,,Retirement Savings,"You overhear a couple talking about their retirement savings. As you listen in, you start to worry that you haven't saved enough. ",You call a financial advisor who reminds you that everyone's retirement journey looks different. You decide that meeting your financial goals will be possible. ,Do you think your retirement savings are adequate?,Yes,No,https://drive.google.com/file/d/1OHZyzV8-CKOtRD0eJBbCQU0ZC1YraYBc/view?usp=drive_link,307.jpg,"You overhear a couple talking about their retirement savings. As you listen in, you start to worry that you haven't saved enough. ",You call a financial advisor who reminds you that everyone's retirement journey looks different. You decide that meeting your financial goals will be possible. ,Do you think your retirement savings are adequate?,Yes,No,https://drive.google.com/file/d/1OHZyzV8-CKOtRD0eJBbCQU0ZC1YraYBc/view?usp=drive_link,307.jpg,1
,8,Positive,Finances,Family & Home Life,,Family Money Troubles,"Your sibling is in a tight spot and is asking for money. You really want to help them, but you are dealing with your own financial challenges as you need to put your money toward rent. Thinking about the other types of support you can offer your sibling, you think they will be grateful. ",N/A,Can you help your sibling even if you can't offer them money right now? ,Yes,No,https://drive.google.com/file/d/1A8ycJgfvq0hQ65V7_IUsQ41x88OnntCo/view?usp=drive_link,197.jpg,"Your sibling is in a tight spot and is asking for money. You really want to help them, but you are dealing with your own financial challenges as you need to put your money toward rent. Thinking about the other types of support you can offer your sibling, you think they will be grateful. ",N/A,Can you help your sibling even if you can't offer them money right now? ,Yes,No,https://drive.google.com/file/d/1A8ycJgfvq0hQ65V7_IUsQ41x88OnntCo/view?usp=drive_link,197.jpg,1
,9,Negative,Finances,,,Saving for a Trip,"This summer you want to take your family on a beach trip. You realize that you are not the best when it comes to saving money. After you give it some thought, you think your chances of going to the beach are slim. ",,"When you think about this summer, you see yourself...",Staying at home,Booking a beachfront hotel,https://drive.google.com/file/d/1ysGyoGjdfPdIFVGtIboY1AEG9pzHleeD/view?usp=drive_link,308.jpg,"This summer you want to take your family on a beach trip. You realize that you are not the best when it comes to saving money. After you give it some thought, you think your chances of going to the beach are slim. ",,"When you think about this summer, you see yourself...",Staying at home,Booking a beachfront hotel,https://drive.google.com/file/d/1ysGyoGjdfPdIFVGtIboY1AEG9pzHleeD/view?usp=drive_link,308.jpg,1
,10,Positive,Finances,Family & Home Life,Romantic Relationships,Partner's Spending,"You and your partner recently opened a joint bank account. While going through the bank statements, you are shocked to see that your partner has been spending recklessly. As you consider bringing up your concerns to your partner, you think they will be understanding. ",N/A,Will your partner be mad that you brought this up?,No,Yes,https://drive.google.com/file/d/1EIGEmJfSxfuKgfCbOPT5CmXQUrI4X4aC/view?usp=sharing,184.jpg,"You and your partner recently opened a joint bank account. While going through the bank statements, you are shocked to see that your partner has been spending recklessly. As you consider bringing up your concerns to your partner, you think they will be understanding. ",N/A,Will your partner be mad that you brought this up?,No,Yes,https://drive.google.com/file/d/1EIGEmJfSxfuKgfCbOPT5CmXQUrI4X4aC/view?usp=sharing,184.jpg,1
14,1,Positive,Finances,Family & Home Life,,Gift Giving,"Your children's birthdays are approaching, and you want to show them how much you appreciate them through gifts. However, you're worried about if you'll be able to afford the gifts you think they deserve. When you think about their birthdays, you think that they will be happy with something small.",N/A,Do your children need a big gift to feel appreciated? ,No,Yes,https://drive.google.com/file/d/1jWzJuwkqvTss1X1vO90z40f-28aw_x4n/view?usp=sharing,185.jpg,"Your children's birthdays are approaching, and you want to show them how much you appreciate them through gifts. However, you're worried about if you'll be able to afford the gifts you think they deserve. When you think about their birthdays, you think that they will be happy with something small.",N/A,Do your children need a big gift to feel appreciated? ,No,Yes,https://drive.google.com/file/d/1jWzJuwkqvTss1X1vO90z40f-28aw_x4n/view?usp=sharing,185.jpg,2
,2,Positive,Finances,Mental Health,,Session Costs,"You recently had to pay a large sum of money toward repairs for your car. This unexpected expense cut into the money you use to pay your therapy copays, and you are concerned about what will happen if you miss sessions to save money. You call the therapy office, and they help you come up with a solution. ",N/A,Do finances get in the way of therapy?,No,Yes,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,190.jpg,"You recently had to pay a large sum of money toward repairs for your car. This unexpected expense cut into the money you use to pay your therapy copays, and you are concerned about what will happen if you miss sessions to save money. You call the therapy office, and they help you come up with a solution. ",N/A,Do finances get in the way of therapy?,No,Yes,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,190.jpg,2
,3,Resilience/Negation,Finances,,,Hacked Account,"After looking at your bank statement, you notice a few charges that you didn't make. You realize your account has been hacked. You worry all your money will be lost.","You call your bank to report fraud. As you wait on hold, you feel confident that the issue will be resolved. ",Will you get your money back? ,Yes,No,https://drive.google.com/file/d/1CDzwpG_qjdI-rwvOSR309wwW7piOpY2s/view?usp=drive_link,309.jpg,"After looking at your bank statement, you notice a few charges that you didn't make. You realize your account has been hacked. You worry all your money will be lost.","You call your bank to report fraud. As you wait on hold, you feel confident that the issue will be resolved. ",Will you get your money back?,Yes,No,https://drive.google.com/file/d/1CDzwpG_qjdI-rwvOSR309wwW7piOpY2s/view?usp=drive_link,309.jpg,2
,4,Positive,Finances,,,Making a Plan,"You're reviewing your monthly budget and notice that your expenses have been slightly higher than usual. As you prepare to pay the bills, you start to worry if you'll have enough left for your planned vacation next month. Considering things, you think you'll be able to cut down on some expenses, and you feel relieved. ",N/A,Will you be able to go on vacation?,Yes,No,https://drive.google.com/file/d/10FlqcsDlR2eRV8T1RQn48jY5XFXXFTwJ/view?usp=sharing,310.jpg,"You're reviewing your monthly budget and notice that your expenses have been slightly higher than usual. As you prepare to pay the bills, you start to worry if you'll have enough left for your planned vacation next month. Considering things, you think you'll be able to cut down on some expenses, and you feel relieved. ",N/A,Will you be able to go on vacation?,Yes,No,https://drive.google.com/file/d/10FlqcsDlR2eRV8T1RQn48jY5XFXXFTwJ/view?usp=sharing,310.jpg,2
,5,Negative,Finances,,,Expensive Gift,"You want to buy your partner something nice because they've been working hard. You have some money saved but realize you are short on your bills. You might not be able to buy your partner something, making you feel defeated. ",,Will you be able to spend this money on your partner?,No,Yes,https://drive.google.com/file/d/1vW5Mr0EF6l4izqWS2jUjIdDc6rLoAXeu/view?usp=drive_link,311.jpg,"You want to buy your partner something nice because they've been working hard. You have some money saved, but realize you are short on your bills. You might not be able to buy your partner something, making you feel defeated. ",,Will you be able to spend this money on your partner?,No,Yes,https://drive.google.com/file/d/1vW5Mr0EF6l4izqWS2jUjIdDc6rLoAXeu/view?usp=drive_link,311.jpg,2
